DETOID	DETID	DETTIME	DUID	FLOORID	PMTID	CABLEPOS	DUUPI	DOMUPI	CLBUPI	PMTUPI	DUSER	DOMSER	CLBSER	PMTSER	DOMID
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	0	0	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.10759	22	294	240	10759	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	1	1	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15501	22	294	240	15501	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	2	2	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15517	22	294	240	15517	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	3	3	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15512	22	294	240	15512	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	4	4	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15513	22	294	240	15513	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	5	5	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15530	22	294	240	15530	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	6	6	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.11219	22	294	240	11219	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	7	7	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15496	22	294	240	15496	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	8	8	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15516	22	294	240	15516	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	9	9	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.13341	22	294	240	13341	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	10	10	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.13343	22	294	240	13343	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	11	11	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.15523	22	294	240	15523	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	12	12	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/1.12620	22	294	240	12620	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	13	13	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.10855	22	294	240	10855	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	14	14	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/1.12619	22	294	240	12619	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	15	15	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/1.12625	22	294	240	12625	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	16	16	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/1.12618	22	294	240	12618	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	17	17	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.10848	22	294	240	10848	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	18	18	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.14671	22	294	240	14671	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	19	19	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.14677	22	294	240	14677	808974773
D_ORCA006	49	1/26/2020 5:30:00 PM	1	4	20	20	3/DU-A:FR/1.22	3.4/CH50C/4.294	3.4.3.2/V2-2-1/2.240	3.4.2.3/HAMA-R12199/2.14675	22	294	240	14675	808974773
